cleaned_word,count
Пайор,4
Челс,4
Эв,4
Атлетик,4
Тв,3
Доз,3
Футбол,3
Мадрид,3
Вот,2
Эт,2
Шертенляйб,2
Есть,2
Так,2
Сан,2
Путельяс,2
Барселон,2
Джул,2
Алекс,2
Арсенал,2
Сит,2
Луис,2
Карл,2
Сидн,2
Бругтс,1
Естественн,1
Лаутар,1
Был,1
Кубк,1
Мал,1
Напол,1
Сейчас,1
Камар,1
Вс,1
Холанд,1
Сборн,1
Подкаст,1
Тут,1
Тир,1
Лац,1
Выделил,1
Милан,1
Кив,1
Абсурдил,1
Постаралс,1
Симеон,1
Сторон,1
Хав,1
Он,1
Мареск,1
Получил,1
Леон,1
Серрахорд,1
Гомез,1
Фоден,1
Париж,1
Тренер,1
Айн,1
Фабрегас,1
Прочел,1
Мартрет,1
Мап,1
Карраск,1
Эсм,1
Фуэнт,1
Пин,1
Спокойн,1
Клар,1
Альварес,1
Обамеянг,1
Характер,1
Надеюсь,1
Есл,1
Айш,1
Африк,1
Убрать,1
Высш,1
Давать,1
Участник,1
Может,1
Играл,1
Фабриц,1
Ребят,1
Тухель,1
Шанс,1
Жоз,1
Посл,1
Туран,1
Поэтом,1
Ливерпуль,1
Месс,1
Ютуб,1
Дек,1
Вымерл,1
Вчер,1
Интер,1
Торрехон,1
Страшн,1
Дальш,1
Больш,1
Джулиан,1
Фил,1
Тож,1
Как,1
Моуринь,1
Плюс,1
Нагельсман,1
Один,1
Там,1
Росеньор,1
Журавлев,1
Ник,1
Роман,1
Габон,1
Итак,1
Энрик,1
Жоан,1
Любл,1
Мног,1
Тотенхэм,1
Клауд,1
Родриг,1
Последн,1
Делать,1
Март,1
Алонс,1
Втор,1
Гарс,1
Англ,1
Ратн,1
Португалец,1
